": Lumen Trails : Food+ An HD App That Lets You Create a Food Diary, Nutrition Plan, Fitness Tracker, Diabetes Journal, Medication Reminders & More. Free.","Lumen Trails Food+ A Universal App That Lets You Create a Food Diary, Nutrition Plan, Fitness Tracker, Diabetes Journal, Medication Reminder & More.",same
": Lumen Trails : Money+ An HD App That Lets You Create a Monthly Income or Spending Tracker, Budget Planner, Family Finance Tracker, Bill Payment Reminder, Xmas Gift List & More. Free.","Lumen Trails Money+ A Universal App That Lets You Create a Monthly Income or Spending Tracker, Budget Planner, Family Finance Tracker, Bill Payment Reminder, Grocery Shopping List & More.",same
": Lumen Trails : Organizer+ An HD App That Lets You Take Notes, Create a To-Do List, Daily Workout Tracker, Exercise Timer, Food Diary, Fitness Tracker, Calorie Counter, Diet Plan, Expense Tracker, Day Planner, Weight Loss Journal & Free Time Log.","Lumen Trails Daily Tracker+ Create a 7 Minute Workout Timer, Exercise Tracker, Food Diary, Fitness Tracker, Calorie Counter, Diet Plan, Expense Tracker, Day Planner, GTD To-Do List Organizer, Checklist, Weight Loss Journal, Time Log and Budget Tracker.",same
": Lumen Trails : Routine+ An HD App That Lets You Take Notes, Make Lists, Create a Daily Meal Planner, Health Journal, Sleep Log, Money Tracker, Photo Diary, Calendar Planner, Weight Tracker, Workout Plan, Mileage Tracker, Time Log & More. Free.","Lumen Trails Better Notes+ Create a Daily Meal Planner, Health Journal, Sleep Tracker, Workout Plan, Photo Diary, Money Tracker, Calendar Planner, Mileage Log, Time Tracker, Weight Chart, Bill Tracker, Daily Checklists, Notes, To-Dos, Reminders & More.",same
": Lumen Trails : Time+ An HD App That Lets You Create a Billable Time Tracker, Flight Log, Daily Journal, Day Counter, Work Schedule, Music Practice Tracker, Activity Log, Timesheet & More. Free.","Lumen Trails Time+ A Universal App That Lets You Create a Billable Time Tracker, Flight Log, Daily Journal, Day Counter, Work Schedule, Music Practice Tracker, Activity Log, Timesheet & More.",same
": Lumen Trails : Weight Loss+ An HD App That Lets You Create a Personal Health and Fitness Program, Daily Calorie Counter, Point Calculator, Food Journal, Nutrition Plan, Weight Loss Diary, Exercise Log, Workout Planner & More. Free.","Lumen Trails Weight Loss+ A Universal App That Lets You Create a Personal Health and Fitness Program, Daily Calorie Counter, Point Calculator, Food Journal, Nutrition Plan, Weight Loss Diary, Exercise Log, Workout Planner & More.",same
"A+ Stickers Free For SMS,Line,Twitter,Facebook","Stickers Free For SMS,Line,Twitter,Facebook,Skype",same
"ABC - Learn ABC , Writing, Drawing, Music box, 3D animation",ABC baby learn,same
"ABC Alphabet Phonics Free - Preschool and Kindergarten fun games for Kids HD. Montessori Activities: sounds, crosswords, song, letter spelling.","Kids Apps · ABC Alphabet Phonics educational game for toddlers, preschool and kindergarten children.",same
"ABC Alphabet Phonics Free - Preschool and Kindergarten fun games for Kids HD. Montessori Activities: sounds, crosswords, song, letter spelling.","Kids Apps · ABC Alphabet Phonics educational game for toddlers, preschool and kindergarten children.",same
"ABC Für Kinder: Deutsch Lernen - Buchstaben, Zahlen und Wörter mit Tieren, Formen, Farben, Obst und Gemüse Frei Lite Free","ABC Für Kinder: Learn German - Letters, Numbers and Words with Animals, Shapes, Colors, Fruits and Vegetables Free Lite",same
"ABC SAFARI Animals & Plants - Video, Picture, Sound, Puzzle Game","ABC SAFARI Animals & Plants - Video, Picture, Word, Puzzle Game",same
"ABC Test para los Niños Encuentre Animales, Letras, Números, Frutas, Verduras, Formas, Colores y Objetos en Español Libre Gratis",ABC Test para los Niños en Español Libre Gratis,same
"ABC pour les Enfants: Apprenez le Français - Les Lettres, Chiffres et Mots avec des Animaux, Formes, Couleurs, Fruits et Légumes Gratuit Libre","ABC pour les Enfants: Learn French - Letters, Numbers and Words with Animals, Shapes, Colors, Fruits and Vegetables Free Lite",same
"APhoto - Insta Animated Photo Editor with Cute Effects, Movie Effects, Frame, Splash of Color & Music box to Share Images via Facebook, Email, and Twitter","APhoto - Insta Animated Photo Editor with Cute & PS Effects, Movie Effects, PicFrame, Splash of Color & Music box to Share Images via Facebook, Snapchat, Skout and Twitter",same
"Aamazing Word Search - Find Hidden Crosswords, Spider Solitaire and Tic Tac Toe Puzzles","Word Search - Find Hidden Crosswords Puzzles, Spider Solitaire and Tic Tac Toe",same
"Africa Trip Planner, Travel Guide & Offline City Map","Africa Trip Planner, Travel Guide & Offline City Map for Egypt, Morocco, South Africa, Madagascar, Seychelles, Mauritius and more",same
"Age Calculator - Human Age, Baby Age, Dog Age and Cat Age Calculator",Age Calculator - AGE+,same
"Air Transfer - Easy file sharing between PC and iDevices, Document Viewer, Music player, Video player and Web browser.","Air Transfer - Easy file sharing between PC and iPhone/iPad, Document Viewer, Music player, Video player and Web browser.",same
"Air Transfer+ Easy file sharing between PC and iDevices, Document Viewer, Music player, Video player and Web browser.","Air Transfer+ Easy file sharing between PC and iPhone/iPad, Document Viewer, Music player, Video player and Web browser.",same
"AirPhoto - AirPlay your photo on another iOS , like Apple TV &AirDisplay",AirPhoto - AirShow your photo on another iOS device,same
"Al Quran Al Majeed with Tafsir ( Tafheem ), Translation and Audio - (تلاوةالقرانالمجيدمعتفسيرترجمةوصوت)",Quran Audio for Muslim with Translation - القرآنالكريم,same
"Allen CFA® Exam Program: Level 1, 2, & 3 TestBank, Audio & Notes App with Free Sample Practice Prep Questions","Allen CFA® Exam Program: Level 1, 2, & 3 TestBank, Audio & Study Guides with Free Sample Practice Prep Questions",same
"Amazing Abstract Wallpaper & Background – Art , Painting & more Design images","Amazing Abstract Wallpapers & Backgrounds - Art, Paintings & Designed Images",same
"Animal Puzzles for Kids with Skills Free: The Best Activity Preschool Shape Games for Toddlers, Boys and Girls",Animal Puzzle Games for Kids with Skills Free,same
"Animated 3D Emoji Pro - New Pop Emoticons Stickers & Animations Icons For MMS,Kik,BBM,WhatsApp,Facebook Messenger","3D Animated Emoji PRO + Emoticons - SMS,MMS,WhatsApp Smileys Animoticons Stickers",same
"Animated Emojis Emoticons For iOS7, SMS, MMS Smiley Icons - Animoticons for WhatsApp,Facebook,Twitter Messenger",3D Animated Smileys,same
"App for Dragon Ball Z - Find Wallpapers, Read News, Browse RSS Feeds, Watch Videos, and Learn More About Goku And The Rest Of The Gang!",News for Dragon Ball Z Fans,same
"Apps and Contacts shortcuts custom icon( for home screen, Instagram, WhatsApp, Snapchat, Line, etc and iOS7) : iFavorite","Apps and Contacts shortcuts custom icon( for home screen, Instagram, WhatsApp, Snapchat, etc and iOS7) : iFavorite",same
"AquaUp - Dehydration Reminder, Drink Water to Stay Hydrated","AquaUp - Drinking water consumption monitor & counter, dehydration reminder",same
"Arkansas, USA Offline Map","Arkansas, USA Offline Map - PLACE STARS",same
"Arthur Slots - Best Free Vegas Slot Machine Game,Play Everywhere,Play Everytime","AAAA Arthur Slots - Best Free Vegas Slot Machine Game,Play Everywhere,Play Everytime",same
"Atom Ants Smasher, Games for KIDS",Pocket Ants Crusher - Best Ant Smasher Game,same
"Audibook - Free Audio Book(""Text to speech"" app for free books)","AudiBook - EPUB & Classic Titles Voice Reader(""Text to speech"" app for books)",same
"Autism Awareness - Detect early signs of autism, find nearby autism treatment centers and support groups. Share Autism related articles with Facebook, Twitter, Pinterest and Instagram","Autism Awareness - Detect early signs of autism, find nearby autism treatment centers and support groups. Explore Autism related books, journals, apps on Web, Youtube and other social media. Share with Facebook, Twitter, Pinterest and Instagram.",same
"Avocado Scanner Deluxe - Scan and Fax Documents, Receipts, Business Cards to PDF","Scanner Deluxe - Scan and Fax Documents, Receipts, Business Cards to PDF",same
"Awesome Gun Sounds: AK47, Colt, Glock, Beretta, Remington","Awesome Gun Sounds: AK47, Colt, Glock, Beretta, Remington, Sig, Magnum, TEC, SMG, M16, M4, MP5, M1 Garand, Winchester, Uzi",same
"BN Dating - meet, flirt, date with singles","BN Dating – meet, flirt, date with singles in best app",same
"Bandung, Indonesia Offline Map","Bandung, Indonesia Offline Map - PLACE STARS",same
"Basketball Shots Free - Lite Game - fling sports - the Best Fun Games for Kids, Boys and Girls - Cool Funny 3D Free Games - Addictive Apps Multiplayer Physics, Addicting App",Basketball Shots Free,same
"BeYou - Health Coach & Personal Trainer - personalized home workouts, meal planner and chat with your coach","BeYou Health Coach. Daily Personal Trainer For Home Workouts, Meal Planner And Chat",same
"Best Guide - ""GTA IV"" HD","Guide ""GTA V"" HD",same
"Best Guide - ""GTA IV""","Guide ""GTA V""",same
"Best Guide,Walkthroughs,Hints,Cheats Forever for Cut The Rope-Time Travel-Experiment(Unofficial)",The Best Guide+Cheats for CUT THE ROPE - 2( Unofficial-2014),same
"BetterDoctor - Find the best licensed & screened doctors, dentists or medical specialists",BetterDoctor - Find a Doctor You’ll Love,same
"Big Fish Casino – Free Slots, Vegas Slots & Slot Tournaments! Plus Poker, Cards, 21 and more!",Big Fish Casino – Free Vegas Slots & Slot Tournaments. Plus Poker and more!,same
"Bingo Deluxe - Wheel of Fortune Slots,Free Slots, Blackjack, Roulette, Poker and More!",Bingo Deluxe,same
"Bird 420 - ""MLG edition""",Bird 420 - MLG edition,same
"Bitdrop - Send Files Anonymous & Secure from a 256 bit Encrypted Vault that Safely Manages & Transfers Private Photos, Videos, Secret contacts or any File while you Safeguard your Personal Identity",Bitdrop - Send Files Anonymous & Secure from a 256 bit Encrypted Vault and Protect your Personal Identity,same
"Blockscouter - Uptown NYC, Find events and places around Central Park, Upper West Side, Upper East Side, Lincoln Center, American Museum of Natural History, Guggenheim Museum, Metropolitan Museum of Art and during Marathon and Thanksgiving day parade.","Blockscouter - NYC Manhattan Map of Events and Places: New York City tourists or residents can see where Central Park, Times Square, Soho, Wall Street, Chinatown, Chelsea, Little Italy, Columbus Circle, MET and the Empire State Building is located.",same
"Bogota BOG Airport. Flights, car rental, shuttle bus, taxi. Arrivals & Departures.","Bogota El Dorado BOG Airport. Flights, car rental, shuttle bus, taxi. Arrivals & Departures.",same
"Bogota, Colombia Offline Map","Bogota, Colombia Offline Map - PLACE STARS",same
"Bombay, India Offline Map","Bombay, India Offline Map - PLACE STARS",same
"Brandalley : Ventes privées, Vêtements et Chaussures de marque","Brandalley : Vente privee, Vetements et Chaussures de marque",same
"Brandenburg, Germany Map","Brandenburg, Germany Map - PLACE STARS",same
"Brasília, Brazil Offline Map","Brasilia, Brazil Offline Map - PLACE STARS",same
"Brewery Passport - Discover local breweries, a brewpub, craft beer and beer tasting","Brewery Passport – Discover local breweries, craft beers, a beer tasting or brewpub",same
"Buns Invasion - Heroes Of Epic Saga HD Free: Cool Fight and Fun Strategy! Best Popular Game for Boys, Girls, Kids, Teens and Adults by Addicting Apps","Buns Invasion - Heroes Of Epic Saga HD Free: Cool Fight and Fun War Strategy! Best Game for Boys,Girls,Kids by 3d Survival Crafting Lite Pocket Edition pe not multiplayer",same
"CDOT/Colorado Traffic Cameras (I-70/I-25), Travel and NOAA (Offline Travel Guide)","CDOT/Colorado Traffic Cameras/Road Alerts and Conditions (I-70/I-25), Travel and NOAA (Offline Travel Guide)",same
"CDOT/Colorado Traffic Cameras (I-70/I-25), Travel and NOAA (Offline Travel Guide)","CDOT/Colorado Traffic Cameras/Road Alerts and Conditions (I-70/I-25), Travel and NOAA (Offline Travel Guide)",same
"CDOT/Colorado Traffic Cameras/Road Alerts and Conditions (I-70/I-25), Travel and NOAA (Offline Travel Guide)","CDOT/Colorado Traffic Cameras (I-70/I-25), Travel and NOAA (Offline Travel Guide)",same
"CGA, Inc.",CGA Hole In One,same
"CSmart for craigslist - Mobile classifieds app with Notifications, Alerts, Saved Searches, Starred Listings & History on iPhone & iPad","CSmart for Craigslist - Mobile classifieds app with Notifications, Alerts, Saved Searches, Starred Listings & History on iPhone & iPad",same
"Cage Junkie Free - MMA News for UFC, Bellator, and more","Cage Junkie Free - MMA News and Video for UFC, Bellator, and more",same
"Cairo, Egypt Offline Map","Cairo, Egypt Offline Map - PLACE STARS",same
"Calculator 2.0 for iPhone, iPad and iPod","Calculator Plus for iPhone, iPad and iPod",same
"Calculator Gold for iPad, iPhone and iPod Free",Calculator Gold +,same
"Camera Gold - Full Screen, Square; Golden Ratio Grids",Camera Gold - Snappy; Full Screen; Square; Golden Ratio Grids,same
"Cape Town, South Africa Map","Cape Town, South Africa Map - PLACE STARS",same
"CashSync LE - Expense and Income tracking with sync, personal finance, budget, and money management","CashSync - Expense and Income tracking with sync, personal finance, budget, and money management (LE)",same
"ChansNippon Football cheer chants music app (Japan representative, J-League club version)",ChansNippon（Football cheer chants music app）,same
"ChantNippon Football cheer chants free app (japan representative, j-league club version)",ChantNippon（Football cheer chants free app）,same
"Cheats + Guide For Can You Escape 2.0 - Complete with Tips & Tricks, Secrets, & MORE","Cheats + Guide for Pixel Gun 3D - ""World Pocket Survival Shooter with Skins Maker for minecraft (PC edition) & Multiplayer""",same
"Cleaner – Remove Duplicate Contacts for Addressbook, iCloud, Gmail, Yahoo & Outlook","Cleaner Pro – Remove Duplicate Contacts for Addressbook, iCloud, Gmail, Yahoo & Outlook",same
"Cobook Contacts with Facebook, LinkedIn, Twitter, Instagram, Foursquare, AngelList, Xing profiles",Cobook Contacts,same
"Cobook Contacts with Facebook, LinkedIn, Twitter, Instagram, Foursquare, AngelList, Xing profiles",Cobook,same
"Color Keyboard Maker - Themes with custom colors, backgrounds, fonts and emoji emoticons",Color Keyboard Maker - Сustom themes and emoji emoticons,same
"Colorado, USA Offline Map","Colorado, USA Offline Map - PLACE STARS",same
"Coloring Pages for Girls & Boys with Cute Animals, Fun & Educational Painting Sheets and Principe Games with Tomcat, Hamster & Hippo for Kids, Knirps & Babies",Coloring Pages with Animals for Girls & Boys,same
"Computer Science, MIS & Networking by WAGmob","Computer Science, MIS & Networking - A simpleNeasyApp by WAGmob",same
"Connecticut, USA Offline Map","Connecticut, USA Offline Map - PLACE STARS",same
"Contact Transfer - migration made easy from iPhone, Nokia, Blackberry and other phones (ex ConCopy)","Contact Transfer - migration made easy from iPhone, Nokia, BB and other phones (ex ConCopy)",same
"CookShelf, the cookbook-rating app",Cookbook Finder - cookbook-rating app,same
"Coupons App by RightBuy - Cyber Monday Deals and Mall Coupon Shopping for American Eagle Outfitters, Forever 21, Victoria's Secret, Bath & Body Works","Coupons App by RightBuy - Shopping Deals & Mall Coupon Shopping for American Eagle Outfitters, Forever 21, Victoria's Secret, Bath & Body Works",same
"CoverMe - Private Texting & Secure Phone Calls with a Dot Lock Safe Photo Vault to Hide Pictures & Videos and Protect Secret Contacts, Encrypted SMS Text Messages, Documents, Personal Notes & Diary, Password Manager","CoverMe - Private Texting & Secure Phone Calls with a Dot Lock Safe Vault to Hide Photos & Videos and Protect Secret Contacts, Encrypted SMS Text Messages, Documents, Personal Notes & Diary, Password Manager",same
"CoverMe - Private Texting & Secure Phone Calls with a Dot Lock Safe Vault to Hide Photos & Videos and Protect Secret Contacts, Encrypted SMS Text Messages, Documents, Personal Notes & Diary, Password Manager","CoverMe - Private Texting & Secure Phone Calls with a Dot Lock Safe Photo Vault to Hide Pictures & Videos and Protect Secret Contacts, Encrypted SMS Text Messages, Documents, Personal Notes & Diary, Password Manager",same
"CoverMe - Private Texting & Secure Phone Calls with a Dot Lock Safe Vault to Hide Photos & Videos and Protect Secret Contacts, Encrypted SMS Text Messages, Documents, Personal Notes & Diary, Password Manager","CoverMe - Private Texting & Secure Phone Calls with a Dot Lock Safe Photo Vault to Hide Pictures & Videos and Protect Secret Contacts, Encrypted SMS Text Messages, Documents, Personal Notes & Diary, Password Manager",same
"Crafting, Brewing, and Enchanting Guide for Minecraft",Plug PE for Minecraft,same
"Creation 5 - AirPlay & DLNA Streaming of Music, Radio and Video - iPad Version","Creation 5 Media Player FREE - Music, Radio, YouTube Music Video - AirPlay & DLNA. Originally created for Bang & Olufsen - iPad Version",same
"Creation 5 - AirPlay & DLNA Streaming of Music, Radio and Video - iPhone Version","Creation 5 Media Player FREE - Music, Radio, YouTube Music Video - AirPlay & DLNA. Originally created for Bang & Olufsen - iPhone Version",same
"Creation 5 PRO - AirPlay & DLNA Streaming of Music, Radio and Video - iPhone Version","Creation 5 Media Player PRO - Music, Radio, YouTube Music Video - AirPlay & DLNA. Originally created for Bang & Olufsen - iPhone Version",same
"Dapp Free - the App Creator, make and learn how to create your own app","Dapp Free - the App Creator, make and learn how to create your own iPhone and iPad apps",same
"Dark Rule - the chronicles of the ultimate predator and bounty hunter, midnight ghost avenger lost in a hidden planet","Dark Rule – The chronicles of a heroic bounty hunter avenger, lost deep in a desert planet with predator creature aliens",same
"DealZy - Best Deals Online Daily, Compare Discount Retail Price, Bargain Hunting and Shopping, Find Cheap Low Prices, Free Shipping, Black Friday, Search Top Holiday Deals!","DealZy - Best Deals Online Daily, Compare Discount Retail Price, Bargain Hunting and Shopping, Find Cheap Low Prices, Free Shipping, Search Top Deals!",same
"Delaware, USA Offline Map","Delaware, USA Offline Map - PLACE STARS",same
"Dermatology, Gynecology (Understanding Disease series) Focus Apps","Dermatology, Gynecology (Understanding Disease series)",same
"DiVine socialboost for Vine - tool to get likes, revines, and more followers","DiVine for Vine - social boost tool to get likes, revines, and more followers",same
"Dia-Life - calorie calculator, calorie burn, glycemic index, weight tracking","DiaLife - calorie counter, calorie burn, glycemic index, weight tracking",same
"Diana, busca y acierta eligiendo restaurante","Diana, acierta eligiendo restaurante",same
"Dingtone: Free Phone Calls, SMS Text Messages & Walkie Talkie Messenger with Cheap Calls or Free International Calling, Texting via Free VoIP, WiFi, Internet Call for iPod and iPhone","Dingtone: Free Phone Calls, SMS Text Messages + Walkie Talkie Messenger with Cheap Calls or Free International Calling, Texting via Free VoIP, WiFi, Internet Call",same
"DividendCalendarFree: Calendar, Dividend History, Real time Stock Quote, Chart, News, Insider Trade, Market","Dividend Free: Calendar, Dividend History, Real time Stock Quote, Chart, News, Insider Trade, Market",same
"Draw & Paint - Drawing and Coloring Pictures for Kids, Fun & Educational Games for Boys and Girls",Draw & Paint - Sketching Principe Games for Girls and Boys,same
"Drive Mode - Speak to TomTom, Sygic, Navigon, Waze and more",Drive Mode,same
"Durban, South Africa Map","Durban, South Africa Map - PLACE STARS",same
"EarningCalendarFree: Calendar, History, Reminder, Real Time Stock Quote, Chart, News, Insider Trade, Market.","Earnings FREE: Calendar, Earning History, Reminder, Real Time Stock Quote, Chart, News, Insider Trade",same
"EasyShareCam for Facebook, Twitter, Instagram and LINE","EasyShareCam for Facebook, Twitter, Instagram and more",same
"Editions Harlequin HD (e-reader gratuit) : le meilleur du roman sentimental, du thriller, du paranormal, de la comédie et de la romance !","Editions Harlequin HD : (e-book) le meilleur du roman sentimental, du thriller, du paranormal, de la comédie et de la romance !",same
"Egift Maker – Create Greeting, Thanksgiving Card With Beautiful Theme, Emoticon And Message","Egift Card Maker – Create Greeting, Thanksgiving Card With Beautiful Theme, Emoticon And Message",same
"Electronics Engineering ToolKit Pro - Electronic Reference Kit for the EE Engineer, Student and Hobbyist",Electronics Engineering ToolKit Pro,same
"Emoji + Symbol Keyboard - Color Emojis Emoticons Smileys, Cool Characters Symbols & Emoji Art for LINE,Kik,WhatsApp,Facebook,Twitter Messenger","Emoji Keyboard 2 - Color Emojis Emoticons Smileys, Cool Characters Symbols & Emoji Art Text for LINE,Kik,WhatsApp,Facebook,Twitter Messenger",same
"Emoji 3 + Symbol Keyboard, Color Emoji, Emoticons, Cool Text Fonts, Characters, Icons for facebook twitter SMS",Bubble Emoji 3 – chat with emoticon smiley face in emoji keyboard :-),same
"Emoji 3D Animated & Emoticons & Free Emoji Keyboard with Pop Emojis Art & Animated icons, Cool Fonts, Special Symbols, Animoticons for iMessage, Whatsapp, Skype Etc.",Emoji 3D Animated & Emoticons,same
"Emoji Emoticons - Emoji Art, Text Pics, Cool Fonts, Special Symbols, Animoticons and Combo Emojis","Emoji Emoticons - Emoji Art, Text Pics, Cool Fonts, Special Symbols & Animoticon",same
"Emoji Free Emoticon Keyboard for Twitter,Zoosk,Facebook,WhatsApp,Kik Messenger",Emoji Free Emoticon Keyboard Art Text,same
"Emoji Keyboard & 3D Animations Emoticons for Texts, Emails & MMS Messages, LINE, Kik, WhatsApp, Twitter & Facebook – Smiley Icons, Stickers & Fonts","Emoji Emoticons & Animated 3D Smileys PRO - SMS,MMS,WhatsApp Smiley Symbols & Icons",same
"Emoji Keyboard & Emoticons for LINE, Kik, Messages, WeChat, WhatsApp, Twitter, Zoosk & Facebook Messenger - Emoticon Icons, Emoji Art Text & Characters","Emoji Keyboard - Animated 3D Emojis Smileys Art, Animations Emoticon Icons & Unicode Characters For Kik,BBM, LINE,WhatsApp,Facebook,Twitter Messenger",same
"Emoji Keyboard - Christmas Emojis & Hot/Pop Holiday Emoticons Icons For Kik, LINE, BBM, Facebook Messenger & Me-Not App Free","Emoji Keyboard 2 Free - Christmas Emojis & Hot/Pop Holiday Emoticons Icons For Kik,BBM, Facebook Messenger or Me-Not App",same
"Emoji Keyboard 2 - Christmas Emojis & Hot/Pop Holiday Emoticons Icons For Kik,BBM, Facebook Messenger or Me-Not App Free","Emoji Keyboard 2 - Animated Emojis Icons Art & New Hot/Pop Emoticons Stickers For Kik,BBM, Whats.App, Facebook Messenger or Me-Not App Free",same
"Emoji Keyboard 2 - Color Emojis Emoticons Smileys, Cool Characters Symbols & Emoji Art Text for LINE,Kik,WhatsApp,Facebook,Twitter Messenger",Emoji Keyboard 2,same
"Emoji Keyboard 2 Free - Christmas Emojis & Hot/Pop Holiday Emoticons Icons For Kik,BBM, Facebook Messenger or Me-Not App","Emoji for Message,Texting,SMS - Cool Fonts, Characters Symbols Emoticons Keyboard, Color Text, Smileys Icons Pictures for Zoosk,Kik,WhatsApp,Facebook,Twitter,WebChat,LINE,Viber,Messenger,Skype",same
"Emoji Show & Emoticon Keyboard - Be widely used in Line,Zoosk,Skype,Kik,Whatsapp,Facebook Messenger with Pop Emojis & Emotion icons",Emoji Free !∙,same
"Emoji for Message,Texting,SMS - Cool Fonts, Characters Symbols Emoticons Keyboard, Color Text, Smileys Icons Pictures for Zoosk,Kik,WhatsApp,Facebook,Twitter,WebChat,LINE,Viber,Messenger,Skype","Emoji Keyboard 2 PRO - Animated Emojis Icons Art & New Hot/Pop Emoticons Stickers For Kik,BBM,WhatsApp,Facebook,Twitter Messenger or Me-Not App",same
"Emoji for iOS 7 - Free Emojis Keyboard, Stickers, and Emoticon Pics for Texts","Emoji for iOS 7 - Emojis Keyboard, Stickers, and Emoticon Pics for Texts",same
"Emoticons & Emoji Keyboard - Color Emojis, Emotion Icons, Smileys Emoji Art, Characters & Symbols for Zoosk,Kik,Whatsapp,Facebook,Twitter,LINE Messenger","Emoticons & Emoji Keyboard 2 - Animated Emojis Icons Art, New Pop Emoticon Smileys Stickers for Zoosk,Kik,Whatsapp,Facebook,Twitter,LINE Messenger",same
"English Radio - IELTS TOEFL TOEIC TSE ITEP UBELT ESOL ECPE Listening, Best Way to Learn English","English Radio - IELTS TOEFL TOEIC IBT Speaking & Listening, Make friends to Teach & Learn Foreign Languages",same
"Es-tu un bon dragueur ? (quizz, techniques et mise à l'épreuve)",Hey Madmoizelle : Phrases de drague,different
"Eversnap - Photo & Video Sharing Album for Event, Wedding, Family, Travel, & Bachelorette Party",Eversnap - Photo & Video Sharing Album for Events,same
"FREE Ringtones - Download,Customize and Make Ringtones","FREE Ringtones - Download,Customize and Make Ringtone",same
"Fake Alarm Pro: Prank Maker Unlimited, Fire Alarm, Smoke Alarm, Old Bell","The Best Fake Alarm: Prank Maker Unlimited, Fire Alarm, Smoke Alarm, Old Bell",same
"Family TRAK 000: Emergency Alert, Call Triple Zero & GPS","Family TRAK: GeoFence, Emergency Call & Alert",same
"Fancy Texts - Cool, Funny and Fantastic Message Fonts, Color Emoji Icons and Symbol Keyboards FREE for WhatsApp,Viber,Line & Skype","Fancy Texts - Cool, Funny and Fantastic Message Fonts, Color Emoji Icons and Symbol Font Keyboards",same
"Fanzo - Top Social News for NFL, NCAA, NBA, NHL, and MLB Fans","Fanzo - Top Social News for NFL, NCAA, EPL, Champions League, NBA, NHL, and MLB Fans",same
"Faridabad, India Offline Map","Faridabad, India Offline Map - PLACE STARS",same
"Feedly News Reader. Blogs, RSS and Youtube.","Feedly Reader. Blogs, News, RSS and Youtube.",same
"Feiertage, Ferien und Schulferien Deutschland & Bundesländer (sommerferien, osterferien, herbstferien, pfingstferien, winterferien)","Feiertage, Ferien und Schulferien Deutschland & Bundesländer (sommerferien, osterferien, herbstferien, pfingstferien, winterferien) - FerienCal",same
"First Vehicles - Things that Go! Play & Learn for babies, toddlers, and preschool kids (English, Spanish, French & Chinese Mandarin)","First Vehicles - Things that Go! Play & Learn Cars and Trucks ( Puzzle, Coloring, Interactive Games for Baby, Toddler and Preschool Kids )",same
"Fishes Legend Fun on the iphone's most popular recreational fishing mobile phone games, to bring the player to stimulate Fish carefree experience seconds kill FishingJoy, GfanGame, Wow, Typer Shark Fish Galaxy, etc","Fishes Legend The most popular iphone eliminate most people play games, fun pkLinkLink, Fishing Paradise, Puzzle Bobble, FishLord and other popular mobile phone game",same
"Flag and Seal, Seat of Government, and the States (Title 4 United States Code)","4 USC - Flag and Seal, Seat of Government, and the States (Title 4 United States Code)",same
